section_ref,offence_description,punishment,cognizable,bailable,triable_by,part
49,"Abetment of any offence, if the act abetted is committed in consequence, and where no express provision is made for its punishment.",Same as for offence abetted.,According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable,I
50,"Abetment of any offence, if the person abetted does act with different intention from that of abettor.",Same as for offence abetted.,According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable,I
51,"Abetment of any offence, when one act is abetted and a different act is done; subject to the proviso.",Same as for offence intended to be abetted.,According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable,I
52,Abettor when liable to cumulative punishment for act abetted and for act done.,Same as for offence abetted.,According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable,I
53,"Abetment of any offence, when an effect is caused by the act abetted different from that intended by the abettor.",Same as for offence committed.,According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable,I
54,"Abetment of any offence, if abettor present when offence is committed.",Same as for offence committed.,According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable,I
55,"Abetment of an offence, punishable with death or imprisonment for life, if the offence be not committed in consequence of the abetment.",Imprisonment for 7 years and fine.,According as offence abetted is cognizable or non-cognizable,Non-bailable,Court by which offence abetted is triable,I
55,If an act which causes harm to be done in consequence of the abetment.,Imprisonment for 14 and fine. years,According as offence abetted is cognizable or non-cognizable,Non-bailable,Court by which offence abetted is triable,I
56,"Abetment of an offence, punishable with imprisonment, if the offence be not committed in consequence of the abetment. If the abettor or the person abetted be a public servant whose duty it is to prevent the offence.","Imprisonment extending to one-fourth of the longest term provided for the offence, or fine, or both. Imprisonment extending to one-half of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable. According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable. According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable. Court by which offence abetted is triable,I
57,Abetting commission of an offence by the public or by more than ten persons.,Imprisonment which may extend to 7 years and fine.,According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable,I
58(a),"Concealing design to commit offence punishable with death or imprisonment for life, if the offence be committed.",Imprisonment for 7 years and fine.,According as offence abetted is cognizable or non-cognizable,Non-bailable,Court by which offence abetted is triable,I
58(b),If offence be not committed.,Imprisonment for 3 years and fine.,According as offence abetted is cognizable or non-cognizable,Bailable,Court by which offence abetted is triable,I
59(a),"A public servant concealing a design to commit an offence which it is his duty to prevent, if the offence be committed.","Imprisonment extending to one-half of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable,I
59(b),If the offence be punishable with death or imprisonment for life.,Imprisonment for 10 years.,According as offence abetted is cognizable or non-cognizable,Non-bailable,Court by which offence abetted is triable,I
59(c),If the offence be not committed.,"Imprisonment extending to one-fourth of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable,Bailable,Court by which offence abetted is triable,I
60(a),"Concealing a design to commit an offence punishable with imprisonment, if offence be committed.","Imprisonment extending to one-fourth of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable,According as offence abetted is bailable or non-bailable,Court by which offence abetted is triable,I
60(b),If the offence be not committed.,"Imprisonment extending to one-eighth part of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable,Bailable,Court by which offence abetted is triable,I
61(2)(a),"Criminal conspiracy to commit an offence punishable with death, imprisonment for life or rigorous imprisonment for a term of 2 years or upwards.",Same as for abetment of the offence which is the object of the conspiracy.,According as the offence which is the object of conspiracy is cognizable or non-cognizable,According as offence which is object of conspiracy is bailable or non-bailable,Court by which abetment of the offence which is the object of conspiracy is triable,I
61(2)(b),Any other criminal conspiracy.,"Imprisonment for 6 months, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
62,"Attempting to commit offence punishable with imprisonment for life, or imprisonment, and in such attempt doing any act towards the commission of the offence.","One half of the imprison-ment for life, or imprison-ment not exceeding one-half of the longest term, provided for the offence, or fine, or both.",According as the offence is cognizable or non-cognizable,According as the offence attempted by the offender is bailable or non-bailable,The court by which the offence attempted is triable,I
64(1),Rape.,"Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life, and fine.",Cognizable,Non-bailable,Court of Session,I
64(2),"Rape by a police officer or a public servant or member of armed forces or a person being on the management or on the staff of a jail, remand home or other place of custody or women's or children's institution or by a person on the management or on the staff of a hospital, and rape committed by a person in a position of trust or authority towards the person raped or by a near relative of the person raped.",Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life which shall mean the remainder of that person's natural life and fine.,Cognizable,Non-bailable,Court of Session,I
65(1),Persons committing offence of rape on a woman under sixteen years of age.,"Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life, which shall mean imprisonment for the remainder of that person's natural life and fine.",Cognizable,Non-bailable,Court of Session,I
65(2),Persons committing offence of rape on a woman under twelve years of age.,Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person's natural life and with fine or death.,Cognizable,Non-bailable,Court of Session,I
66,Person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state.,Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person's natural life or death.,Cognizable,Non-bailable,Court of Session,I
67,Sexual intercourse by husband upon his wife during separation.,Imprisonment for not less than 2 years but which may extend to 7 years and fine.,Cognizable (only on the complaint of the victim),Bailable,Court of Session,I
68,"Sexual intercourse by a person in authority, etc.","Rigorous imprisonment for not less than 5 years, but which may extend to 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
69,"Sexual intercourse by employing deceitful means, etc.",Imprisonment which may extend to 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
70(1),Gang rape.,Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person's natural life and fine.,Cognizable,Non-bailable,Court of Session,I
