old_act,old_section,old_section_title,new_act,new_section,new_section_title,mapping_type,notes
IPC,1,Title and extent of operation of the Code,BNS,1,"title,",merged,"1(1): This subject is covered by six subsections of
Section 1 of BNS, corresponding to five
separate sections of IPC, sans separate
headings thereof. In IPC, the extent of code
operation is also given, which is absent in
BNS. 1(2): By subsection 1(2) of the BNS, the power to
appoint the date of commencement is
delegated to the Central Government, which
was absent in the IPC. 1(3): No change except ""Code"" is replaced with
""Sanhita"". Wherever the word ""Code"" is used
in IPC, the word ""Sanhita"" is used in BNS;
therefore, this fact will not be specifically
mentioned in this table hereinafter. 1(4): Section is included as a subsection in BNS
sans heading. ""Indian laws"" is replaced with
""law"" and ""for the time being in force in
India"" is inserted. 1(5): Section is included as a subsection in BNS
sans heading.
In the illustration, ""Uganda"" has been replaced
with ""any place outside India."" 1(6):"
IPC,2,Punishment of offences committed within India,BNS,1,"title,",merged,"1(1): This subject is covered by six subsections of
Section 1 of BNS, corresponding to five
separate sections of IPC, sans separate
headings thereof. In IPC, the extent of code
operation is also given, which is absent in
BNS. 1(2): By subsection 1(2) of the BNS, the power to
appoint the date of commencement is
delegated to the Central Government, which
was absent in the IPC. 1(3): No change except ""Code"" is replaced with
""Sanhita"". Wherever the word ""Code"" is used
in IPC, the word ""Sanhita"" is used in BNS;
therefore, this fact will not be specifically
mentioned in this table hereinafter. 1(4): Section is included as a subsection in BNS
sans heading. ""Indian laws"" is replaced with
""law"" and ""for the time being in force in
India"" is inserted. 1(5): Section is included as a subsection in BNS
sans heading.
In the illustration, ""Uganda"" has been replaced
with ""any place outside India."" 1(6):"
IPC,3,"Punishment of offences committed beyond, but which by law may be tried within, India",BNS,1,"title,",merged,"1(1): This subject is covered by six subsections of
Section 1 of BNS, corresponding to five
separate sections of IPC, sans separate
headings thereof. In IPC, the extent of code
operation is also given, which is absent in
BNS. 1(2): By subsection 1(2) of the BNS, the power to
appoint the date of commencement is
delegated to the Central Government, which
was absent in the IPC. 1(3): No change except ""Code"" is replaced with
""Sanhita"". Wherever the word ""Code"" is used
in IPC, the word ""Sanhita"" is used in BNS;
therefore, this fact will not be specifically
mentioned in this table hereinafter. 1(4): Section is included as a subsection in BNS
sans heading. ""Indian laws"" is replaced with
""law"" and ""for the time being in force in
India"" is inserted. 1(5): Section is included as a subsection in BNS
sans heading.
In the illustration, ""Uganda"" has been replaced
with ""any place outside India."" 1(6):"
IPC,4,Extension of Code to extra-territorial offences,BNS,1,"title,",merged,"1(1): This subject is covered by six subsections of
Section 1 of BNS, corresponding to five
separate sections of IPC, sans separate
headings thereof. In IPC, the extent of code
operation is also given, which is absent in
BNS. 1(2): By subsection 1(2) of the BNS, the power to
appoint the date of commencement is
delegated to the Central Government, which
was absent in the IPC. 1(3): No change except ""Code"" is replaced with
""Sanhita"". Wherever the word ""Code"" is used
in IPC, the word ""Sanhita"" is used in BNS;
therefore, this fact will not be specifically
mentioned in this table hereinafter. 1(4): Section is included as a subsection in BNS
sans heading. ""Indian laws"" is replaced with
""law"" and ""for the time being in force in
India"" is inserted. 1(5): Section is included as a subsection in BNS
sans heading.
In the illustration, ""Uganda"" has been replaced
with ""any place outside India."" 1(6):"
IPC,5,Certain laws not to be affected by this Act,BNS,1,"title,",merged,"1(1): This subject is covered by six subsections of
Section 1 of BNS, corresponding to five
separate sections of IPC, sans separate
headings thereof. In IPC, the extent of code
operation is also given, which is absent in
BNS. 1(2): By subsection 1(2) of the BNS, the power to
appoint the date of commencement is
delegated to the Central Government, which
was absent in the IPC. 1(3): No change except ""Code"" is replaced with
""Sanhita"". Wherever the word ""Code"" is used
in IPC, the word ""Sanhita"" is used in BNS;
therefore, this fact will not be specifically
mentioned in this table hereinafter. 1(4): Section is included as a subsection in BNS
sans heading. ""Indian laws"" is replaced with
""law"" and ""for the time being in force in
India"" is inserted. 1(5): Section is included as a subsection in BNS
sans heading.
In the illustration, ""Uganda"" has been replaced
with ""any place outside India."" 1(6):"
IPC,8,Gender,BNS,2,Definitions,merged,"2(1): In the IPC, Section 33 addressed both ""Act""
and ""Omission"" collectively. However, in the 2(2): No change. 2(3): Definition of 'child' in section 2(3) of BNS
(child- any person below the age of eighteen
years.) This is a new addition. 2(4): No change. 2(5): Section 2(5) of BNS excludes the illustration
and uses the word ""Court"" in place of the
words ""Court of Justice"". 2(6): No change. 2(7): Words ""whoever does"" and ""is said to do that
thing dishonestly"" are excluded. 2(8): Words ""and includes electronic and digital
record"" are added.
BNS Section 2(8) incorporates both the
sections 29 and 29A of IPC and adds digital
records. 2(9): Phraseology changed but essence is same. 2(10): Word ""transgender"" is added apart from
genders of ""male"" and ""female"". 2(11): No change. 2(12): Words ""Government of a State"" are replaced
by ""State Government"". 2(13): Words ""Except in section 157 and in sec"
IPC,9,Number,BNS,2,Definitions,merged,"2(1): In the IPC, Section 33 addressed both ""Act""
and ""Omission"" collectively. However, in the 2(2): No change. 2(3): Definition of 'child' in section 2(3) of BNS
(child- any person below the age of eighteen
years.) This is a new addition. 2(4): No change. 2(5): Section 2(5) of BNS excludes the illustration
and uses the word ""Court"" in place of the
words ""Court of Justice"". 2(6): No change. 2(7): Words ""whoever does"" and ""is said to do that
thing dishonestly"" are excluded. 2(8): Words ""and includes electronic and digital
record"" are added.
BNS Section 2(8) incorporates both the
sections 29 and 29A of IPC and adds digital
records. 2(9): Phraseology changed but essence is same. 2(10): Word ""transgender"" is added apart from
genders of ""male"" and ""female"". 2(11): No change. 2(12): Words ""Government of a State"" are replaced
by ""State Government"". 2(13): Words ""Except in section 157 and in sec"
IPC,10,"""Man"" ""Woman""",BNS,2,Definitions,merged,"2(1): In the IPC, Section 33 addressed both ""Act""
and ""Omission"" collectively. However, in the 2(2): No change. 2(3): Definition of 'child' in section 2(3) of BNS
(child- any person below the age of eighteen
years.) This is a new addition. 2(4): No change. 2(5): Section 2(5) of BNS excludes the illustration
and uses the word ""Court"" in place of the
words ""Court of Justice"". 2(6): No change. 2(7): Words ""whoever does"" and ""is said to do that
thing dishonestly"" are excluded. 2(8): Words ""and includes electronic and digital
record"" are added.
BNS Section 2(8) incorporates both the
sections 29 and 29A of IPC and adds digital
records. 2(9): Phraseology changed but essence is same. 2(10): Word ""transgender"" is added apart from
genders of ""male"" and ""female"". 2(11): No change. 2(12): Words ""Government of a State"" are replaced
by ""State Government"". 2(13): Words ""Except in section 157 and in sec"
IPC,11,"""Person""",BNS,2,Definitions,merged,"2(1): In the IPC, Section 33 addressed both ""Act""
and ""Omission"" collectively. However, in the 2(2): No change. 2(3): Definition of 'child' in section 2(3) of BNS
(child- any person below the age of eighteen
years.) This is a new addition. 2(4): No change. 2(5): Section 2(5) of BNS excludes the illustration
and uses the word ""Court"" in place of the
words ""Court of Justice"". 2(6): No change. 2(7): Words ""whoever does"" and ""is said to do that
thing dishonestly"" are excluded. 2(8): Words ""and includes electronic and digital
record"" are added.
BNS Section 2(8) incorporates both the
sections 29 and 29A of IPC and adds digital
records. 2(9): Phraseology changed but essence is same. 2(10): Word ""transgender"" is added apart from
genders of ""male"" and ""female"". 2(11): No change. 2(12): Words ""Government of a State"" are replaced
by ""State Government"". 2(13): Words ""Except in section 157 and in sec"
IPC,12,"""Public""",BNS,2,Definitions,merged,"2(1): In the IPC, Section 33 addressed both ""Act""
and ""Omission"" collectively. However, in the 2(2): No change. 2(3): Definition of 'child' in section 2(3) of BNS
(child- any person below the age of eighteen
years.) This is a new addition. 2(4): No change. 2(5): Section 2(5) of BNS excludes the illustration
and uses the word ""Court"" in place of the
words ""Court of Justice"". 2(6): No change. 2(7): Words ""whoever does"" and ""is said to do that
thing dishonestly"" are excluded. 2(8): Words ""and includes electronic and digital
record"" are added.
BNS Section 2(8) incorporates both the
sections 29 and 29A of IPC and adds digital
records. 2(9): Phraseology changed but essence is same. 2(10): Word ""transgender"" is added apart from
genders of ""male"" and ""female"". 2(11): No change. 2(12): Words ""Government of a State"" are replaced
by ""State Government"". 2(13): Words ""Except in section 157 and in sec"
